Step,Information:,X=2p,Run:,1/20
1.00000000000000e-001,7.46302796470490e+001,-6.28759487328714e+000,-2.33979400086720e+002,0.00000000000000e+000
1.25892541179417e-001,7.45973286521384e+001,-7.89467786305425e+000,-2.33979400086720e+002,0.00000000000000e+000
1.58489319246111e-001,7.45456133445376e+001,-9.89752693082396e+000,-2.33979400086720e+002,0.00000000000000e+000
1.99526231496888e-001,7.44648952964882e+001,-1.23793761630454e+001,-2.33979400086720e+002,0.00000000000000e+000
2.51188643150958e-001,7.43399720555085e+001,-1.54278954497689e+001,-2.33979400086720e+002,0.00000000000000e+000
3.16227766016838e-001,7.41490857638374e+001,-1.91231411553390e+001,-2.33979400086720e+002,0.00000000000000e+000
3.98107170553497e-001,7.38628122890102e+001,-2.35156907344468e+001,-2.33979400086720e+002,0.00000000000000e+000
5.01187233627272e-001,7.34446687472291e+001,-2.85942739669539e+001,-2.33979400086720e+002,0.00000000000000e+000
6.30957344480193e-001,7.28550889868053e+001,-3.42497957285108e+001,-2.33979400086720e+002,0.00000000000000e+000
7.94328234724282e-001,7.20595739715569e+001,-4.02543931753694e+001,-2.33979400086720e+002,0.00000000000000e+000
1.00000000000000e+000,7.10389413344320e+001,-4.62791818050799e+001,-2.33979400086720e+002,0.00000000000000e+000
1.25892541179417e+000,6.97963978195002e+001,-5.19569744196853e+001,-2.33979400086720e+002,0.00000000000000e+000
1.58489319246111e+000,6.83567868953200e+001,-5.69621962406608e+001,-2.33979400086720e+002,0.00000000000000e+000
1.99526231496888e+000,6.67586933206339e+001,-6.10648630778013e+001,-2.33979400086720e+002,0.00000000000000e+000
2.51188643150958e+000,6.50447188085685e+001,-6.41379839646540e+001,-2.33979400086720e+002,0.00000000000000e+000
3.16227766016838e+000,6.32547812283585e+001,-6.61308023929942e+001,-2.33979400086720e+002,0.00000000000000e+000
3.98107170553498e+000,6.14238467338877e+001,-6.70325721019509e+001,-2.33979400086720e+002,0.00000000000000e+000
5.01187233627273e+000,5.95830131765540e+001,-6.68442727047632e+001,-2.33979400086720e+002,0.00000000000000e+000
6.30957344480194e+000,5.77623099636163e+001,-6.55651329380404e+001,-2.33979400086720e+002,0.00000000000000e+000
7.94328234724282e+000,5.59938835482705e+001,-6.31953724474905e+001,-2.33979400086720e+002,0.00000000000000e+000
1.00000000000000e+001,5.43143848544830e+001,-5.97549702708241e+001,-2.33979400086720e+002,0.00000000000000e+000
1.25892541179417e+001,5.27651066009944e+001,-5.53158212769828e+001,-2.33979400086720e+002,0.00000000000000e+000
1.58489319246112e+001,5.13882593708861e+001,-5.00372588094801e+001,-2.33979400086720e+002,0.00000000000000e+000
1.99526231496888e+001,5.02189105747171e+001,-4.41839360942025e+001,-2.33979400086720e+002,0.00000000000000e+000
2.51188643150958e+001,4.92752065068772e+001,-3.81026330589464e+001,-2.33979400086720e+002,0.00000000000000e+000
3.16227766016838e+001,4.85524374623971e+001,-3.21553938214218e+001,-2.33979400086720e+002,0.00000000000000e+000
3.98107170553498e+001,4.80251763284349e+001,-2.66404887123260e+001,-2.33979400086720e+002,0.00000000000000e+000
5.01187233627273e+001,4.76560976511727e+001,-2.17434277582451e+001,-2.33979400086720e+002,0.00000000000000e+000
6.30957344480194e+001,4.74059886080131e+001,-1.75343239948923e+001,-2.33979400086720e+002,0.00000000000000e+000
7.94328234724283e+001,4.72405423514877e+001,-1.39965284609210e+001,-2.33979400086720e+002,0.00000000000000e+000
1.00000000000000e+002,4.71330301201681e+001,-1.10627195957010e+001,-2.33979400086720e+002,0.00000000000000e+000
1.25892541179417e+002,4.70641620605724e+001,-8.64380538865714e+000,-2.33979400086720e+002,0.00000000000000e+000
1.58489319246112e+002,4.70207270910058e+001,-6.64696780052158e+000,-2.33979400086720e+002,0.00000000000000e+000
1.99526231496888e+002,4.69940321450550e+001,-4.98481519626968e+000,-2.33979400086720e+002,0.00000000000000e+000
2.51188643150958e+002,4.69785887262315e+001,-3.57883895054061e+000,-2.33979400086720e+002,0.00000000000000e+000
3.16227766016839e+002,4.69711619924899e+001,-2.35976437874371e+000,-2.33979400086720e+002,0.00000000000000e+000
3.98107170553498e+002,4.69701586895016e+001,-1.26648414188970e+000,-2.33979400086720e+002,0.00000000000000e+000
5.01187233627273e+002,4.69752926597191e+001,-2.44601959574299e-001,-2.33979400086720e+002,0.00000000000000e+000
